id,nome,diametro_min_m,diametro_max_m,velocidade_km_s,distancia_km,ameaca
3762127,(2016 UZ41),229.3796979965,512.9085973785,11.394384247,23548699.042164758,False
3767315,(2017 BY32),13.5692228993,30.3417048048,3.767927859,29426618.35078665,False
3797674,(2018 AB12),35.0392641108,78.3501764334,17.5130979905,53628128.37435726,False
3825766,(2018 NC15),116.5614594686,260.6393469284,7.0957269269,72936329.11066048,False
2471323,471323 (2011 KW15),352.0099800547,787.1182441607,13.9487973727,40393357.98871636,True
3367027,(2007 BJ29),453.476698997,1014.0047251696,18.1156112713,72599675.85918692,True
3663541,(2014 EF4),30.5179232594,68.2401509401,4.2269410605,67870490.27541824,False
3755349,(2016 NG38),25.3837029364,56.7596852866,7.0652275752,4414439.474297498,False
3757287,(2016 PK38),35.0392641108,78.3501764334,6.4969230243,20402267.21071807,False
3892008,(2019 UX12),4.8367648822,10.8153350678,9.7034628683,44833608.55591111,False
3623683,(2013 AG53),27.8326768072,62.2357573367,7.0655651299,63312427.989726834,False
3754389,(2016 NC1),21.5057690002,48.0883613928,4.4493517268,2798029.731735232,False
3838880,(2019 EK),13.9493822934,31.1917670523,8.5134390478,68442063.21062526,False
2520585,520585 Saci (2014 OA2),134.4481951604,300.6353038309,3.7774504514,33547026.024039105,False
3603125,(2012 HH31),46.4039528246,103.7623929406,4.6888182911,43992647.45077882,False
